 ,DA,SA,LL,TV,VEC
1e-05,630,4566160,26941442,20870,785473,
2e-05,510,4410246,27558392,25340,766013,
3e-05,630,4958794,27427230,26060,830294,
4e-05,690,9384125,27780046,36380,1635357,
5e-05,910,7466326,27732035,27210,1248111,
6e-05,550,2386482,27588132,21700,409737,
7e-05,690,5649360,27257727,37030,947086,
8e-05,620,8148003,27133355,35950,1412843,
9e-05,660,6307925,27233527,41430,1063127,
0.0001,670,4741086,27369359,39320,807443,
0.0002,800,9688820,28071192,32440,1070398,
0.0003,740,7129039,26805299,39620,1251491,
0.0004,860,3497131,28814765,26010,1036408,
0.0005,790,5955778,26996373,34400,1038307,
0.0006,1040,7785513,27783289,37060,1324892,
0.0007,1050,4629020,26940823,27900,755523,
0.0008,1160,6743097,27193708,29690,1143050,
0.0009,920,4066982,28317208,30530,701180,
0.001,1050,7738760,26904585,34730,1363862,
0.002,1790,1898353,26776175,16530,328355,
0.003,1550,6983966,27336960,42210,1231032,
0.004,1930,8303211,27184131,43020,1465654,
0.005,1350,5297455,26920777,27580,940445,
0.006,1650,7798455,26925426,35470,1355733,
0.007,1420,5784878,26567731,30180,1009707,
0.008,1800,3647389,26687662,29370,646140,
0.009,1470,6634700,27098280,44840,1169109,
0.01,1730,4729283,26987237,35050,835834,
0.02,1720,5942711,27024075,36510,1063208,
0.03,1910,4822811,26510012,23680,772133,
0.04,1430,7098957,26284255,24540,1206969,
0.05,2030,5834522,26394181,27670,1015168,
0.06,1650,6299257,26467049,37220,1098306,
0.07,2280,4581747,26581434,25610,796871,
0.08,1990,3342952,26458462,19000,577589,
0.09,1940,4347975,26912564,24040,837252,
0.1,1830,6896814,26629573,35060,1221818,
0.2,1780,4422934,27162717,22160,791493,
0.3,2090,6667107,26654129,38560,1178600,
0.4,1790,5837854,26848976,33660,1016298,
0.5,2140,3755594,27208286,24430,864778,
0.6,2060,5534082,27423669,26300,956016,
0.7,2320,5505600,27365057,25960,964805,
0.8,1780,4515776,27023919,24520,769132,
0.9,1820,5902450,27433209,22820,959156,
1,2450,6284331,27460301,32870,1034226,
