 ,DA,SA,LL,TV,VEC
1e-05,9200,9555299,27270528,21330,2705476,
2e-05,2470,6496404,27365610,31830,1053106,
3e-05,2320,10141490,27545753,20710,2812568,
4e-05,2190,7465278,27317340,22300,1165470,
5e-05,3900,8032952,28713324,26821,955762,
6e-05,2350,6025412,27139844,26600,970715,
7e-05,2400,4653646,27319059,22760,725538,
8e-05,2230,7760733,28097829,26041,1218340,
9e-05,2640,7955257,27199130,26740,1233071,
0.0001,2550,4627185,27523272,24310,718751,
0.0002,2540,7107205,27093655,22520,1107547,
0.0003,2880,8012280,27026884,25500,1241080,
0.0004,2990,7888796,27126065,24810,1219661,
0.0005,2940,7717254,27190887,28170,1218659,
0.0006,2950,8433961,27184836,22710,1304591,
0.0007,3290,9279953,27199781,23380,1452880,
0.0008,3090,3930947,27053908,18040,613785,
0.0009,2960,5260978,27030968,20630,832606,
0.001,3100,4643410,26900902,20100,712382,
0.002,3720,7045142,26913918,30100,1102469,
0.003,3460,5092449,26629717,26470,767803,
0.004,3610,7481074,26802548,25980,1176481,
0.005,3870,8478271,26894539,22870,1340283,
0.006,2980,5178752,26851043,19750,812994,
0.007,3260,7324489,27249090,24420,1141350,
0.008,3390,9667181,26592304,27810,1546856,
0.009,3230,7257450,26499325,29210,1148629,
0.01,3460,4449630,26619323,19270,686559,
0.02,3470,5027572,26546930,22830,796013,
0.03,3320,9099462,26456109,23180,1433822,
0.04,3600,5146275,26543457,26480,796603,
0.05,3070,4316626,26388855,16730,706072,
0.06,3250,8409188,26195727,21440,1285192,
0.07,3110,3097220,26333034,21820,471127,
0.08,3730,7810469,26478707,25270,1229402,
0.09,3230,8545994,26449087,26160,1321261,
0.1,3750,8597191,26324668,27500,1343692,
0.2,3130,7516544,27088328,20170,1160049,
0.3,2650,8576254,26449273,19260,1334712,
0.4,2830,7295870,26613570,29380,1134328,
0.5,2490,7605516,26848916,28410,1204210,
0.6,2860,4255104,27106670,16640,673191,
0.7,3130,6300091,26831334,24870,978395,
0.8,2140,6934292,27216725,22700,1128499,
0.9,2290,8466905,27252314,30080,1329668,
1,2450,5128959,27770500,16420,827282,
