 ,DA,SA,LL,TV,VEC
1e-05,1500,4201,15800,5600,1400
2e-05,1500,2800,17400,5300,1300
3e-05,1400,3100,9200,4501,1000
4e-05,1700,3500,13901,4200,2100
5e-05,1500,900,17400,4000,1000
6e-05,1500,2200,15600,6600,1200
7e-05,1400,2500,3901,4200,1100
8e-05,1700,2500,15000,5800,1500
9e-05,900,900,4100,3600,1100
0.0001,1400,3500,16300,4700,1200
0.0002,2400,2200,15901,4500,1400
0.0003,1100,1400,8601,3600,1100
0.0004,2200,5001,5200,3800,1200
0.0005,1800,2700,17700,4400,1801
0.0006,1900,2900,4201,5000,1200
0.0007,2600,3500,4700,5800,1300
0.0008,3200,2800,8300,5000,1500
0.0009,1800,1700,3500,3800,1100
0.001,2000,4600,22001,4400,2200
0.002,2500,3500,8000,5000,1300
0.003,3400,3300,14600,4000,1300
0.004,4501,4100,8500,4400,1500
0.005,3800,3700,16001,4500,1500
0.006,2400,3300,2400,5700,1400
0.007,2400,4000,7100,4300,1800
0.008,3600,3600,16701,5000,1100
0.009,2800,4000,18300,3900,1800
0.01,2500,4800,8700,5400,1400
0.02,4500,2400,17100,5301,1100
0.03,3500,1400,7500,4401,1000
0.04,4000,2200,16201,4200,1200
0.05,2000,3600,21200,4000,1800
0.06,1900,1000,14500,3801,1300
0.07,3600,2200,11600,6101,1100
0.08,2200,2000,8600,3700,1400
0.09,2800,1300,12601,3900,900
0.1,3100,2400,11200,3900,1300
0.2,3400,1900,9900,4300,1700
0.3,3200,3300,15401,5600,1300
0.4,3400,3000,7700,3900,1700
0.5,1900,1000,13400,4200,1000
0.6,2300,2501,8200,3400,1000
0.7,3100,1700,3400,4200,1600
0.8,3200,1200,17600,3900,1600
0.9,3100,1500,13201,4100,1200
1,5001,3300,4200,4700,1100
