 ,DA,SA,LL,TV,VEC
1e-05,1340,3518484,53788946,34980,3401582,
2e-05,1160,2721249,54660082,62461,2525926,
3e-05,1260,2161759,54416658,62121,2135259,
4e-05,1200,2039257,54248014,72581,1940155,
5e-05,1540,2255681,53841688,72941,2116439,
6e-05,1280,1931675,53659504,47720,1923715,
7e-05,1280,2536506,53964010,60521,2459524,
8e-05,1140,1921895,53806487,62481,1796533,
9e-05,1380,1883394,54322537,68381,1764352,
0.0001,1460,2409084,54229775,65961,2352302,
0.0002,1540,1717171,53912249,64761,1665850,
0.0003,1680,1314384,53726425,56501,1316804,
0.0004,1540,1897714,53392219,69441,1775852,
0.0005,1800,2723089,61806355,64160,2061598,
0.0006,1740,2609648,55189372,94581,2552687,
0.0007,1560,1838093,53019192,59401,1836433,
0.0008,2180,2668669,53383679,79621,2642288,
0.0009,2000,1781272,54407497,57461,1729171,
0.001,2500,2271181,53084933,75341,2177099,
0.002,2660,2119496,53234300,67241,2104856,
0.003,2840,2154199,53917576,67541,2595447,
0.004,2800,1770592,53354738,64801,1750452,
0.005,3120,1834953,52853957,59701,1811752,
0.006,3260,2072954,53024112,53221,2060254,
0.007,3400,2313019,53197017,58860,2288559,
0.008,2660,1302308,53099334,58140,1239707,
0.009,3240,2079475,53147434,46520,2014934,
0.01,3520,2433489,53172174,74001,2380256,
0.02,2780,1202898,54184451,53100,1436441,
0.03,2540,2797451,53787567,74721,2701749,
0.04,2920,1483174,52859524,52741,1466334,
0.05,2960,2591087,52543125,54981,2570287,
0.06,3360,2344300,52490806,66080,2341800,
0.07,3140,1732970,63386746,55000,1812691,
0.08,4080,1163320,52349348,45420,1123219,
0.09,3520,2113355,52310944,55221,2046174,
0.1,4960,1820553,52159378,55881,1840933,
0.2,3480,2703107,52795372,63461,2716147,
0.3,4220,1829113,52606840,37760,1787692,
0.4,4240,1876910,53158597,73101,1856890,
0.5,4400,2253996,53215995,54581,2321957,
0.6,3420,1231342,53284749,35400,1224721,
0.7,4220,1866914,53853364,50940,1893434,
0.8,4140,2493805,54651586,36520,2443404,
0.9,4460,1166119,54352258,57240,1189360,
1,3680,2404510,54494807,52421,2426030,
