 ,DA,SA,LL,TV,VEC
1e-05,1900,12588578,59895245,71702,1928227
2e-05,1000,4706667,60946560,60701,679709
3e-05,1101,3244445,61328765,37301,448906
4e-05,2100,9720837,66153534,187703,2211931
5e-05,1300,17789851,60705757,39401,2767339
6e-05,1700,9587035,59763343,43301,1451820
7e-05,1000,4459863,60705756,35600,631609
8e-05,2000,23587833,60980660,52101,3619451
9e-05,1400,389906,60012846,32201,60201
0.0001,1800,15760723,60526554,58400,2460835
0.0002,1700,15642221,64379008,104001,2374634
0.0003,1800,24511045,59919646,55500,3760753
0.0004,2900,6676195,59587440,54501,983414
0.0005,1300,533708,60772057,18300,86302
0.0006,1800,10915154,59663642,52900,1601923
0.0007,3100,16772736,60157749,91201,2605137
0.0008,2800,10963155,60022445,56901,1631323
0.0009,2700,15189114,59688940,93002,2274932
0.001,1800,9842538,82867467,41001,1298218
0.002,3500,16865738,59473437,89702,2564836
0.003,4400,22564418,58728129,74601,3426848
0.004,2800,2384440,60167817,23801,361506
0.005,4200,11405134,59760124,55403,1743597
0.006,3600,25486860,59735243,64801,3820353
0.007,4700,11172658,59207135,71401,1717024
0.008,4200,12980385,58602537,90101,1910427
0.009,3300,18230876,59773705,84701,3010846
0.01,4200,3257648,64397148,37700,438007
0.02,4000,25946469,61227969,34100,4102559
0.03,3500,12852483,58967538,61501,1954728
0.04,2700,10659452,57754222,51901,1568822
0.05,3900,7984214,58065726,64101,1141316
0.06,5700,17037643,58907038,77201,2646838
0.07,3600,23535934,59564946,50901,3634151
0.08,2800,13999399,58215126,100802,2125930
0.09,3601,14345659,58223408,79507,2157989
0.1,3600,14268952,58746464,99003,2139568
0.2,4800,17828354,58857138,101101,2642238
