 ,DA,SA,LL,TV,VEC
1e-05,4060,7455586,32324553,19940,7707241,
2e-05,2320,2693517,32580417,27110,2883891,
3e-05,2170,977217,32489564,29150,1386744,
4e-05,2260,707881,32504806,18140,698841,
5e-05,2820,848903,32879572,23620,970385,
6e-05,2800,802174,32840493,26180,940296,
7e-05,2750,1023946,32978651,25560,1426593,
8e-05,4020,929945,32628490,19580,919765,
9e-05,2530,1049737,33082398,26560,1072037,
0.0001,2300,1199199,33059996,24190,1591336,
0.0002,2170,1477413,32576319,16290,1464533,
0.0003,2370,1151419,32199802,22290,1146739,
0.0004,2520,1181261,32394501,17940,1565479,
0.0005,2820,932273,32184402,26550,928913,
0.0006,2660,811393,32672069,24290,792743,
0.0007,3130,1516145,32506907,25150,1489945,
0.0008,2720,917315,32523877,27830,909505,
0.0009,2870,1105877,32515598,20280,1495384,
0.001,3160,690992,32349504,23370,1087539,
0.002,3670,872566,32340980,23440,1258933,
0.003,4280,1713699,32132209,25400,2046195,
0.004,3410,2300466,34677436,27370,1626097,
0.005,3280,1158289,32645510,19210,1386693,
0.006,4570,1586107,32488118,24230,2066995,
0.007,3440,1112818,32615639,20130,1513315,
0.008,3560,888435,32506401,22460,857304,
0.009,3570,1031618,32395559,28330,1418035,
0.01,4160,619231,31957786,26940,614811,
0.02,3900,932277,31430137,21450,936617,
0.03,3350,1859374,35667848,18800,1873614,
0.04,3360,946486,32799851,24450,927836,
0.05,3230,1205102,31331017,17350,2013137,
0.06,2850,592120,31190975,18057,605971,
0.07,3530,556158,31295340,18630,554288,
0.08,3530,1518215,31463361,22070,1904082,
0.09,3010,1145131,31737241,17370,733623,
0.1,3050,643790,32211867,20110,639720,
0.2,3410,1168759,31956604,29000,1557674,
0.3,3260,1577504,32325320,26210,1541073,
0.4,3400,880935,32292465,24720,1264232,
0.5,3260,1007728,32492207,31970,1391345,
0.6,2230,784814,32075849,28750,766644,
0.7,2650,835115,32659224,20620,820445,
0.8,2500,766755,39102624,19170,758044,
0.9,2170,1071809,39368506,28710,1450376,
1,2270,1063707,38777172,26930,1438064,
