 ,DA,SA,LL,TV,VEC
1e-05,5500,295806,57141155,38900,256105
2e-05,7000,3490964,55378022,48101,3438964
3e-05,3900,2917254,56313840,66301,3025156
4e-05,3500,10000,56636645,15101,9500
5e-05,5600,243905,57818367,16000,264305
6e-05,6900,2715350,56968851,64702,2713350
7e-05,5700,2598948,56615145,59301,2510547
8e-05,7200,892216,55833031,55401,880316
9e-05,7400,3305261,58788785,43901,3320261
0.0001,5700,1139721,55452324,59701,1145121
0.0002,4201,3620066,55437823,26101,3634167
0.0003,5400,3733269,55113218,51401,3820271
0.0004,5601,1380425,55884532,36400,1351225
0.0005,6400,1052120,55109118,58301,1068720
0.0006,5701,1490727,56120736,45801,1234923
0.0007,5800,851816,55571326,52601,830515
0.0008,4100,1631530,55689929,67101,1621230
0.0009,6400,3417063,55015917,47400,3450464
0.001,4800,2253742,56058335,60501,2276842
0.002,7200,4356081,55604825,45601,4247178
0.003,10800,4336680,55523226,41201,4097175
0.004,8500,4222978,54956815,34800,4262179
0.005,8401,973018,59912505,47701,946018
0.006,9200,2577848,55148317,39301,2536647
0.007,7800,230404,54690209,43300,228005
0.008,8900,1644931,55296620,58202,1605629
0.009,4800,544710,54863814,60701,538810
0.01,7500,346806,54398704,51501,341107
0.02,10900,3508465,54037897,37201,3502965
0.03,9300,2355229,54999085,32301,2459230
0.04,7900,2135428,63198338,44001,2070928
0.05,10000,316106,53923188,39601,263005
0.06,5200,859215,53826196,37001,860316
0.07,7600,571110,54540104,34501,608711
0.08,8000,3706168,53590988,46701,3689268
0.09,7200,322506,55394619,29301,329106
0.1,7200,1564929,54087997,39701,1518528
0.2,7000,4196878,54227600,50300,4179678
0.3,7600,2980155,55024710,100502,2804152
0.4,5600,1287723,55439426,64301,1283324
0.5,5900,1221822,55168808,62702,1205922
0.6,3500,2722250,54819504,87002,2611748
0.7,9000,2170240,55057403,82802,2168339
0.8,3300,251905,56055521,25401,247304
0.9,4401,1428726,54259395,40001,1406526
1,7400,3329443,54502396,65500,3195741
