 ,DA,SA,LL,TV,VEC
1e-05,9700,835496,6619364,20100,91899
2e-05,2700,1016794,6566665,38100,124499
3e-05,3500,2522686,6379665,41900,334098
4e-05,3500,2111389,6416865,38900,267598
5e-05,2700,601196,6630364,20500,83900
6e-05,2100,672296,6470565,28100,89799
7e-05,2100,641197,6567464,25700,82700
8e-05,7600,1354992,6394566,37399,160099
9e-05,2300,701096,6535964,30200,106000
0.0001,3200,610397,6541364,19100,79200
0.0002,3400,615997,6384565,21700,93600
0.0003,4700,2523187,6298665,32900,297699
0.0004,3000,2255488,6324565,25100,240799
0.0005,4100,359598,10138645,27900,49099
0.0006,3900,2587286,6972962,26300,242398
0.0007,3700,3020684,5856168,17700,334998
0.0008,4000,933295,6047467,19700,106100
0.0009,3300,2153188,5635970,34500,217698
0.001,4100,1917190,6281665,37300,289899
0.002,3801,56700,6386591,18600,7800
0.003,5200,2885942,6260589,11100,279604
0.004,3800,17700,6645194,13301,3100
0.005,4000,2352834,6276390,33200,277104
0.006,5200,2274379,6290642,20900,268897
0.007,4200,26500,6335241,18400,4400
0.008,4600,1589785,5836247,35399,179999
0.009,2600,1597923,5891984,40301,181302
0.01,4100,28800,6731196,21600,5100
0.02,3500,2212023,6385977,29799,202892
0.03,4700,1685523,6683589,32001,186802
0.04,4100,2562739,6550698,19500,251304
0.05,4000,2563234,5971180,20400,360105
0.06,4401,3140252,6391507,4000,404006
0.07,5400,2424637,6786304,18500,250404
0.08,5300,601309,7238102,31100,85701
0.09,5300,2068727,6829792,19400,235203
0.1,4900,2956043,6228092,18000,320605
0.2,2500,692610,7271004,22500,95502
0.3,1800,292904,6512993,13100,41600
0.4,3500,914814,7718510,32400,124502
0.5,2300,2899541,7179903,38800,319805
0.6,3300,3159145,6922098,19101,410506
0.7,3500,1830726,7641009,39701,171702
0.8,4100,133701,8145993,17600,19900
0.9,1800,268804,7638713,12301,34700
1,3500,2359234,8293518,35801,263804
