 ,DA,SA,LL,TV,VEC
1e-05,330,210,1350,850,150,
2e-05,360,210,1380,750,160,
3e-05,330,190,13901,680,140,
4e-05,8220,130,1410,650,120,
5e-05,360,170,1440,650,150,
6e-05,330,150,1260,660,130,
7e-05,380,130,1680,690,100,
8e-05,300,130,1490,550,140,
9e-05,390,130,1380,680,90,
0.0001,390,150,1510,680,110,
0.0002,490,130,1400,600,100,
0.0003,490,130,1330,660,120,
0.0004,470,150,1410,660,170,
0.0005,640,110,1480,800,110,
0.0006,620,180,1040,700,130,
0.0007,650,120,1390,570,140,
0.0008,670,130,1270,640,120,
0.0009,700,140,1200,780,120,
0.001,640,130,1780,680,110,
0.002,690,130,1580,690,120,
0.003,750,160,1760,720,130,
0.004,820,120,1940,700,160,
0.005,780,160,1300,710,110,
0.006,930,150,1380,700,140,
0.007,810,120,1830,730,130,
0.008,820,130,1560,660,110,
0.009,870,120,1280,810,110,
0.01,810,150,1690,620,130,
0.02,870,120,1510,670,130,
0.03,1080,150,1520,710,150,
0.04,900,120,1670,780,190,
0.05,1120,160,1240,770,130,
0.06,1110,120,1850,830,150,
0.07,1150,220,1450,680,150,
0.08,1220,140,1430,730,150,
0.09,1070,130,1520,740,120,
0.1,1080,130,1280,760,160,
0.2,1140,170,1610,640,140,
0.3,1040,180,1760,710,120,
0.4,1130,160,1710,660,150,
0.5,1030,170,1320,590,180,
0.6,1030,120,1720,670,150,
0.7,1110,160,1740,560,150,
0.8,1210,150,1910,670,120,
,820,110,1220,490,120,
