 ,DA,SA,LL,TV,VEC
1e-05,400,300,8000,2300,600
2e-05,200,1100,10900,900,100
3e-05,600,300,16901,2700,200
4e-05,600,200,6000,1700,200
5e-05,700,400,13200,1600,300
6e-05,1400,800,9400,1900,400
7e-05,400,200,7200,1000,100
8e-05,600,200,17300,1200,100
9e-05,800,300,13200,1500,200
0.0001,800,300,17200,2000,800
0.0002,600,200,7800,1200,300
0.0003,900,200,16800,2100,100
0.0004,500,200,12600,1900,100
0.0005,1100,300,14900,2300,500
0.0006,1100,200,9201,1800,200
0.0007,600,800,8601,1800,100
0.0008,800,200,17600,1300,300
0.0009,1200,200,16300,1600,100
0.001,900,300,11201,1800,500
0.002,3200,200,8601,1900,100
0.003,2000,800,3300,1600,300
0.004,2400,300,14601,1600,300
0.005,900,700,10300,1700,200
0.006,1800,300,5600,1700,200
0.007,2900,300,11400,1500,300
0.008,3300,800,8900,1200,200
0.009,1400,300,8400,1200,100
0.01,2700,500,7601,1700,200
0.02,3200,300,3800,1700,100
0.03,1800,300,8000,1200,100
0.04,2300,900,1900,2100,301
0.05,2400,300,1400,1000,300
0.06,1700,200,14300,1200,200
0.07,2200,300,12400,900,300
0.08,3600,200,1100,900,200
0.09,2200,400,1600,1100,100
0.1,1900,200,3900,2100,100
0.2,2100,300,13900,800,200
0.3,2300,300,9800,1000,200
0.4,2300,200,6600,800,100
0.5,3100,300,1000,1200,200
0.6,1200,300,12200,700,100
0.7,2600,300,13901,1000,600
0.8,2700,300,11200,900,200
0.9,3100,300,9701,800,200
1,2300,1300,6400,1000,200
