 ,DA,SA,LL,TV,VEC
1e-05,800,200,2800,1800,200
2e-05,500,300,3400,2300,200
3e-05,600,200,1900,900,0
4e-05,600,300,1900,900,300
5e-05,400,0,3900,1100,100
6e-05,500,200,3400,1000,100
7e-05,900,200,4300,700,400
8e-05,1600,300,3500,1000,200
9e-05,500,200,2400,900,200
0.0001,500,200,5200,700,0
0.0002,700,200,5000,1200,200
0.0003,800,100,5400,1000,200
0.0004,600,300,5000,800,300
0.0005,1500,300,3200,800,100
0.0006,1300,100,3600,1300,100
0.0007,2700,200,1500,1200,100
0.0008,1300,100,5600,1100,200
0.0009,1700,200,3400,900,100
0.001,2000,200,2900,1100,100
0.002,2800,100,1900,800,100
0.003,1900,600,3300,1700,100
0.004,2000,200,3100,1100,200
0.005,2800,200,4200,2700,300
0.006,1300,200,1400,1000,100
0.007,1500,800,2500,2900,300
0.008,1300,200,3200,1300,100
0.009,1600,200,3600,1300,0
0.01,1700,200,4300,1300,100
0.02,1300,300,1100,1800,100
0.03,1900,100,1200,700,200
0.04,2000,400,4200,900,200
0.05,1800,100,5801,1100,200
0.06,2200,200,3700,800,200
0.07,2100,301,3500,1000,200
0.08,1900,100,1400,700,100
0.09,2400,100,1500,1300,200
0.1,1800,300,2600,1100,200
0.2,2200,200,4000,900,200
0.3,1500,200,1900,900,200
0.4,1900,200,3701,1100,400
0.5,1800,200,6400,1000,300
0.6,1600,100,5900,1100,100
0.7,1500,200,2800,1500,500
0.8,2200,700,2300,900,100
0.9,2200,200,1800,800,100
1,2200,200,2900,1600,200
