 ,DA,SA,LL,TV,VEC
1e-05,1080,2700,10700,4460,680,
2e-05,640,980,8120,4100,460,
3e-05,1160,1100,8680,4340,840,
4e-05,1060,2120,10240,5160,700,
5e-05,960,2360,10860,4580,480,
6e-05,1100,5180,9440,4700,580,
7e-05,1400,4620,9840,5380,660,
8e-05,620,1080,13900,4160,600,
9e-05,1020,1280,9280,4320,540,
0.0001,1000,1420,10340,4580,660,
0.0002,1520,2280,11540,5160,500,
0.0003,1140,3180,9380,7320,600,
0.0004,1360,2400,14180,4640,700,
0.0005,1560,2200,8380,4720,900,
0.0006,1420,1980,13000,5140,640,
0.0007,1400,2440,9100,5100,720,
0.0008,1180,1860,8800,4580,760,
0.0009,1280,2200,10260,5180,600,
0.001,1480,2980,12860,4620,980,
0.002,1660,1160,12260,4320,840,
0.003,2440,1680,9600,4840,800,
0.004,2400,2280,8320,5000,740,
0.005,2500,2060,10720,4580,820,
0.006,2800,1980,7320,4640,680,
0.007,2300,1740,8580,4720,700,
0.008,2760,1900,11960,4720,680,
0.009,2300,3120,16520,5060,980,
0.01,2460,2160,8780,5260,640,
0.02,2960,2300,8640,4700,820,
0.03,2880,2080,12600,4840,560,
0.04,2260,2280,11080,4140,880,
0.05,2380,2160,12600,4500,680,
0.06,3200,2140,6280,4780,760,
0.07,2060,1720,11340,3940,520,
0.08,2160,2040,9960,4600,500,
0.09,2880,1780,11340,4000,580,
0.1,2880,2140,10640,4080,860,
0.2,2660,2880,11400,4640,780,
0.3,3060,1860,10140,4020,840,
0.4,2820,2400,10140,4120,580,
0.5,3280,1500,6320,4280,720,
0.6,3380,1780,11660,3940,980,
0.7,3280,1840,8740,4420,700,
0.8,3440,1480,10600,4320,560,
0.9,3040,1840,10540,3660,680,
1,3060,1400,11040,4020,600,
