 ,DA,SA,LL,TV,VEC
1e-05,220,290,4980,2210,260,
2e-05,170,200,4870,2090,210,
3e-05,290,300,4040,2210,240,
4e-05,310,230,7140,2000,200,
5e-05,240,270,4410,2040,260,
6e-05,140,160,4170,2080,190,
7e-05,240,160,3220,2050,120,
8e-05,90,150,5090,2000,210,
9e-05,300,250,4750,2450,170,
0.0001,230,190,5290,2100,220,
0.0002,230,190,8380,1960,210,
0.0003,200,400,3740,2070,180,
0.0004,260,330,6000,2190,220,
0.0005,240,210,7360,1950,170,
0.0006,220,220,5890,1950,140,
0.0007,370,360,3810,2300,310,
0.0008,320,370,6180,2050,270,
0.0009,350,400,4300,2280,190,
0.001,370,300,6880,1980,220,
0.002,380,260,5270,2200,170,
0.003,350,310,6360,2260,250,
0.004,310,220,5200,1950,260,
0.005,460,280,5020,2030,230,
0.006,300,200,4520,2310,170,
0.007,370,320,5530,2150,290,
0.008,300,390,4720,1910,260,
0.009,350,230,6000,2020,220,
0.01,330,320,7120,2250,190,
0.02,280,300,3930,2040,300,
0.03,400,280,4620,2000,220,
0.04,420,220,5730,2090,270,
0.05,290,250,5720,1950,140,
0.06,340,270,7210,2040,160,
0.07,490,360,4920,2020,320,
0.08,370,280,7020,1910,210,
0.09,340,190,8060,1730,220,
0.1,480,210,3560,1910,200,
0.2,540,280,5550,1890,200,
0.3,600,260,5790,1810,340,
0.4,560,240,4980,1970,210,
0.5,430,320,7730,1710,210,
0.6,470,330,5330,1750,190,
0.7,550,250,2500,1780,180,
0.8,780,220,5640,1940,340,
0.9,830,270,6910,2080,190,
1,580,410,4740,2050,230,
