 ,DA,SA,LL,TV,VEC
1e-05,400,500,11700,5100,500
2e-05,600,400,4600,4000,300
3e-05,1400,900,2400,4300,500
4e-05,400,600,20900,3700,600
5e-05,100,500,4401,3400,200
6e-05,201,100,9100,3300,200
7e-05,100,100,3400,4200,100
8e-05,100,100,6900,3500,200
9e-05,500,600,12601,4600,300
0.0001,600,500,7400,4400,400
0.0002,500,400,18200,4200,400
0.0003,200,400,7200,3800,300
0.0004,100,400,17600,5100,600
0.0005,600,400,12501,4000,500
0.0006,400,400,17201,4100,200
0.0007,800,500,6600,5800,300
0.0008,700,700,13201,3800,600
0.0009,700,500,14000,3900,500
0.001,700,400,17400,3700,900
0.002,1300,600,12000,4300,400
0.003,1000,700,16401,5000,700
0.004,900,500,16000,3700,400
0.005,800,700,5100,4100,1100
0.006,400,200,6800,3800,300
0.007,800,300,13800,4000,300
0.008,200,400,13001,3400,400
0.009,800,900,6600,3501,300
0.01,800,1100,17400,5300,500
0.02,800,400,16900,4601,200
0.03,1100,400,10101,3700,300
0.04,800,600,15400,4900,600
0.05,1000,500,15801,4000,300
0.06,800,600,17400,3100,300
0.07,1100,1000,1700,3600,800
0.08,700,400,13100,4100,300
0.09,800,400,29601,3900,600
0.1,700,300,5500,3500,300
0.2,1200,500,4300,3400,400
0.3,1201,300,4500,4000,300
0.4,1200,600,12200,3900,300
0.5,700,700,15701,3400,200
0.6,1200,800,8100,3300,400
0.7,1500,600,3401,3900,400
0.8,1100,400,13100,4400,400
0.9,2100,500,17100,3600,500
1,1200,600,11700,4300,500
