 ,DA,SA,LL,TV,VEC
1e-05,3020,986188,4717579,11618311,574940,
2e-05,2600,664142,4712949,12179811,592121,
3e-05,2670,617401,4718049,11258174,568410,
4e-05,3370,647202,4859542,11280614,583251,
5e-05,3190,626411,4682479,11273554,584901,
6e-05,3200,624461,4653088,11271164,582451,
7e-05,3210,655302,4688689,11275764,585571,
8e-05,3210,654412,4645908,11277634,590451,
9e-05,2870,631841,4672098,11261334,586311,
0.0001,3020,606721,4671988,11746843,589651,
0.0002,3360,649562,4651828,11352125,588171,
0.0003,3300,649132,4640778,11730293,585121,
0.0004,3520,653322,4591337,11265944,557760,
0.0005,4440,622491,4618067,11264124,599531,
0.0006,4510,639352,4714399,11327215,579751,
0.0007,4570,622521,4536796,11277604,569210,
0.0008,4980,632862,4522796,11259414,587871,
0.0009,5210,639962,4570716,11269064,578001,
0.001,4750,639042,4511375,11262174,579451,
0.002,6270,639202,4484765,11278634,589501,
0.003,6070,636792,4522576,11274444,600011,
0.004,7040,651762,4483365,11322975,595521,
0.005,6850,647892,4526636,11284514,584671,
0.006,6450,651862,4507595,11281324,563860,
0.007,7290,634930,4477321,11541975,577869,
0.008,7240,624770,4490043,11302986,606059,
0.009,7700,645620,4457342,11316782,592049,
0.01,9390,650791,4495379,11306928,591090,
0.02,9410,626222,4493366,11304387,589971,
0.03,11690,642342,4507275,11291724,588681,
0.04,20190,658892,4533306,11302264,602461,
0.05,36260,648921,4480249,11347611,604510,
0.06,42860,625791,4511621,11796064,579270,
0.07,48651,638482,4531886,11315025,588961,
0.08,48821,630712,4499346,11327688,585361,
0.09,55470,646671,4521513,11533601,605931,
0.1,61311,645352,4514205,11330265,574480,
0.2,56361,651552,5007921,11742634,585641,
0.3,79211,649951,4505421,11430055,579250,
0.4,64981,637251,4530934,11312731,565530,
0.5,99831,846874,5689570,12219253,579840,
0.6,74591,635391,4591046,11306222,567680,
0.7,74281,628042,4590879,11334700,570521,
0.8,91211,633081,4621615,11327509,559600,
0.9,69741,639732,4612847,11318445,577851,
1,71061,644152,4633368,11288484,587001,
