 ,DA,SA,LL,TV,VEC
1e-05,8000,3012257,9426378,23437143,1118422
2e-05,5700,1310925,9364977,22472725,1120221
3e-05,5800,1092820,9585382,22444424,1112721
4e-05,6400,1308424,9502880,22467225,1114421
5e-05,5800,1177423,9287975,22428224,1085521
6e-05,6400,1306125,9297475,22422524,1071321
7e-05,6400,1303625,9368777,22421024,1073420
8e-05,6300,1309725,9410478,22473325,1109421
9e-05,6800,1138621,9371677,22404224,1088421
0.0001,6300,1145222,9708783,22402624,1104021
0.0002,7500,1298424,9316077,22482025,1096820
0.0003,6201,1310924,9651282,22535126,1119721
0.0004,8100,1305325,9537580,22478225,1103221
0.0005,10700,1161022,9357577,22472225,1177022
0.0006,8100,1171622,9023371,22551926,1100921
0.0007,7400,1288925,8958769,22471725,1046420
0.0008,8900,1179823,8756466,22460425,1021820
0.0009,12100,1323125,9060572,22426724,1093721
0.001,8900,1277025,8764966,22460825,1171723
0.002,11101,1320925,8785766,22480324,1103821
0.003,11100,1194323,8886868,22503925,1158522
0.004,16800,1318925,8906968,22542426,1136721
0.005,11801,1300124,8955169,22516125,1104421
0.006,12100,1295024,8985769,22499323,1062620
0.007,11600,1277024,8730065,22505326,1026919
0.008,14200,1282825,8960369,22480225,1116221
0.009,16601,1308924,8792166,22500825,1059520
0.01,17501,1281624,8939669,22576626,1107221
0.02,19200,1141622,8715865,22575427,1147622
0.03,18200,1313725,8924969,22581927,1131721
0.04,57701,1276225,9060171,22585127,1094120
0.05,75301,1309425,8921768,22708828,1259523
0.06,90102,1281124,8810166,22658328,1038219
0.07,99802,1298025,8930672,22683738,1143822
0.08,103402,1204222,8879867,22702325,1126721
0.09,114802,1197923,9073071,22789229,1159422
0.1,126003,1293824,8993270,22780031,1138921
0.2,102602,1318625,9149974,22645530,1190122
0.3,162303,1313225,9010070,22584427,1157521
0.4,136402,1299825,9102274,22648231,1066520
0.5,466207,3283750,19924504,22955150,1175117
0.6,166203,1304625,9107073,22641129,1127821
0.7,137703,1171322,9113273,22640530,1133321
0.8,211904,1307825,9418079,22686432,1084921
0.9,125202,1331226,8965072,22642734,1070720
1,167503,1218823,9274076,22674131,1187722
