 ,DA,SA,LL,TV,VEC
1e-05,2500,2925492,4735548,12152575,3152295,
2e-05,2920,2206511,4834549,11675028,3343148,
3e-05,2890,2175041,4907690,11925241,3177785,
4e-05,3330,2205101,4796129,11546816,3215946,
5e-05,3160,2843981,5015142,11672528,3351868,
6e-05,2930,2392504,4655987,11460775,3409999,
7e-05,2980,2360334,4965941,11687188,3127564,
8e-05,3050,2258012,4972781,11896331,3126835,
9e-05,3180,2209291,5075633,11617417,3084634,
0.0001,3620,2328343,4830829,11527226,3255216,
0.0002,4010,2995773,6028377,14057432,3496300,
0.0003,4560,3379898,4879780,11917541,3166585,
0.0004,4790,2231892,4917610,11563156,3151125,
0.0005,4780,2503426,4823749,12102314,3821035,
0.0006,5000,2256392,4819049,11498715,3042573,
0.0007,5550,2377644,4802799,11544396,3028923,
0.0008,5550,2248132,4691417,11576596,3389018,
0.0009,6710,2401464,5097033,12179705,3033863,
0.001,6570,2228732,4873710,11532286,3028193,
0.002,10430,2276952,4846349,11576696,3045373,
0.003,11500,2260352,4721497,11464554,3060794,
0.004,12940,2302203,4775578,11529695,3047563,
0.005,14300,2273362,4680757,11581796,3039123,
0.006,15320,2258922,4690637,11984562,3343888,
0.007,16350,2331953,4708637,11581256,3052843,
0.008,16290,2221968,5731347,12729066,3238955,
0.009,16820,2270121,4724533,11510979,3070892,
0.01,18350,2310321,4741544,11497067,3056691,
0.02,26700,2256683,4570968,11619424,3029755,
0.03,33620,2305692,4640105,11515314,3041873,
0.04,40150,2264452,4621036,11660218,3032963,
0.05,50000,2311183,4687357,11460185,3025533,
0.06,57160,2298432,5077202,11847738,3039713,
0.07,61710,2256992,4815308,11570005,3033013,
0.08,62011,2314103,4711028,12375709,3047614,
0.09,56940,2280732,4810059,11474465,3112034,
0.1,53250,2228722,4764608,11508126,3049344,
0.2,72241,2350647,4931317,11493140,3054007,
0.3,69561,2358814,4782049,11553978,3028574,
0.4,74961,2237262,5161484,11466216,3024303,
0.5,70271,2221041,5570470,11465925,3037623,
0.6,76081,2263463,5728093,11454006,3041764,
0.7,78531,2327873,6119237,11963080,3036023,
0.8,75881,2281073,6224100,11600298,3049974,
0.9,75721,2305333,6590925,11452355,3142235,
1,81329,2286380,6603221,11517188,3040932,
