 ,DA,SA,LL,TV,VEC
1e-05,1600,1525020,5290317,29702,151212
2e-05,600,1073585,5241713,23402,98107
3e-05,600,826065,5107303,21302,66205
4e-05,700,196816,4952190,9101,14201
5e-05,1300,287122,5527836,17502,32302
6e-05,1301,2189372,5254514,25702,214317
7e-05,1200,1605926,5292917,31603,157712
8e-05,1100,1357807,5371223,25302,148812
9e-05,1000,968276,5317419,22302,112409
0.0001,1200,994179,5289316,20402,112509
0.0002,1101,1488817,5189108,31503,127910
0.0003,1100,2418090,4762776,16201,190115
0.0004,1500,696355,5430428,12601,62705
0.0005,1901,2630707,5171207,15901,249120
0.0006,1100,2094565,5425827,17802,222417
0.0007,2000,902871,5498234,26502,105008
0.0008,1800,802063,5395226,14201,64005
0.0009,1500,200316,5366723,17101,22102
0.001,2300,1632329,5333920,35703,165313
0.002,1501,2709113,4963791,18001,262021
0.003,1500,767860,5376823,22302,73606
0.004,3201,1418412,8452466,36203,158312
0.005,1901,3345363,7840717,29302,338827
0.006,2500,557444,8280653,14801,58705
0.007,2801,3324262,7604099,11401,422233
0.008,2901,1119488,8309154,25102,102209
0.009,2400,1385110,7338378,39703,131811
0.01,2701,3286759,7627601,31002,348628
0.02,2101,2649408,7420384,46704,236119
0.03,3600,51104,8436265,7801,7000
0.04,2100,3792599,8811495,20101,369729
0.05,2700,1051283,8076736,24002,104808
0.06,3500,921273,7754611,25702,59905
0.07,3400,2289980,8745089,54304,214917
0.08,4300,3383467,8840797,35903,274421
0.09,3501,2212774,8094738,60704,194116
0.1,3001,2001357,8087237,41803,166113
0.2,3000,685554,7421085,18401,80107
0.3,5000,1837045,8042234,44504,191315
0.4,3600,1618528,8666083,43203,158113
0.5,3200,3273058,9092317,31502,332126
0.6,2400,2410390,8514571,48904,210317
0.7,2300,383830,8923903,28002,33103
0.8,3200,1496318,8113740,33102,129510
0.9,4101,2680411,10033690,46704,215117
1,3301,765060,10426021,24002,78106
