 ,DA,SA,LL,TV,VEC
1e-05,500,300,1700,1300,200
2e-05,800,300,1801,1300,400
3e-05,600,300,2500,2100,200
4e-05,700,200,2900,1100,300
5e-05,600,200,1600,900,200
6e-05,600,300,2700,1100,300
7e-05,200,100,1801,1000,200
8e-05,300,200,3601,1000,100
9e-05,400,200,4401,900,200
0.0001,500,200,1900,900,100
0.0002,700,200,1700,1600,300
0.0003,800,200,1300,1200,200
0.0004,900,300,3400,1300,400
0.0005,800,200,2300,1200,400
0.0006,1200,300,4700,1400,400
0.0007,1800,200,2601,1100,300
0.0008,1801,700,1600,1900,200
0.0009,1600,600,900,1401,300
0.001,1700,300,2300,1700,300
0.002,1101,600,1400,900,100
0.003,2401,400,4300,1700,200
0.004,2201,300,2600,1500,400
0.005,2000,300,3200,1100,400
0.006,1700,200,3700,1600,500
0.007,1800,300,2000,1400,300
0.008,2100,300,2700,1400,500
0.009,1700,300,800,1300,200
0.01,1800,300,3200,1500,101
0.02,1600,300,1800,1500,701
0.03,1300,200,4001,1200,300
0.04,2200,300,5800,1401,200
0.05,1900,300,2301,2000,200
0.06,1800,200,6500,1800,300
0.07,2100,300,3200,1201,300
0.08,1500,200,2700,1101,300
0.09,2100,300,1200,1600,400
0.1,2401,500,2000,1900,100
0.2,2700,300,5101,1800,200
0.3,2600,200,1401,1500,300
0.4,2201,400,3600,1400,200
0.5,2900,300,5700,1500,300
0.6,2300,300,4000,901,300
0.7,2400,400,2900,2100,500
0.8,2300,300,3701,1100,200
0.9,1900,200,5800,1000,500
1,2621,300,2700,1500,500
