 ,DA,SA,LL,TV,VEC
1e-05,2000,2400,5900,4800,1000
2e-05,1300,2600,5500,3600,1300
3e-05,900,1100,4400,3500,1000
4e-05,1200,2300,6800,3700,1900
5e-05,1401,1400,3500,3500,900
6e-05,1300,1700,3000,4000,1200
7e-05,1100,1500,3100,4200,1200
8e-05,1100,2200,2000,3700,1000
9e-05,1600,1100,4600,3500,1600
0.0001,1400,1700,7501,4000,2100
0.0002,1400,2700,2900,5000,900
0.0003,1500,1900,2700,4000,1000
0.0004,1401,2000,4300,4200,1000
0.0005,1200,1400,2800,5100,800
0.0006,1500,2100,3200,3901,1100
0.0007,1200,1800,3800,4300,1000
0.0008,2300,2501,7300,4100,1100
0.0009,1800,1500,3500,3600,900
0.001,3900,2200,7300,3700,800
0.002,1800,1400,5000,3400,1000
0.003,2300,1700,4201,4300,1100
0.004,3300,1600,3000,4500,900
0.005,2500,1400,4200,5000,1000
0.006,2200,1200,4400,3800,1500
0.007,2200,1800,2101,3600,1100
0.008,2400,1500,3100,3800,800
0.009,3000,1500,2700,3800,1500
0.01,1900,1400,6600,3900,1300
0.02,2400,2200,4700,3700,900
0.03,2800,1400,2700,4100,1100
0.04,2300,1300,4700,3900,1900
0.05,2200,1300,5700,3401,1000
0.06,4000,2200,5601,4700,1100
0.07,2400,1500,3100,4600,1100
0.08,3700,2000,6900,4201,1200
0.09,3000,1400,2300,4300,1500
0.1,3700,1300,4100,3800,1100
0.2,3700,1600,4900,3900,900
0.3,3600,1600,4900,4100,900
0.4,3400,1500,4200,4301,900
0.5,3401,1900,6200,3700,1500
0.6,4300,1200,3300,3400,800
0.7,3200,1400,7500,3600,1100
0.8,2600,1500,1800,4500,1300
0.9,3100,1500,5700,3700,1100
1,3300,2400,7500,5100,1000
