 ,DA,SA,LL,TV,VEC
1e-05,500,500,2900,2400,900
2e-05,800,500,3100,3400,800
3e-05,800,1100,3300,4400,700
4e-05,900,400,4400,3800,700
5e-05,1100,1000,4300,4600,900
6e-05,800,400,6200,2700,1000
7e-05,900,600,6100,2401,1100
8e-05,600,600,4200,2700,1000
9e-05,600,900,2200,2800,900
0.0001,600,500,4500,2500,900
0.0002,800,601,3800,3200,900
0.0003,700,500,2300,2801,700
0.0004,900,500,5700,4100,900
0.0005,800,600,6600,3501,500
0.0006,600,500,4500,2300,1100
0.0007,700,800,5200,3600,2100
0.0008,800,500,6900,3001,1000
0.0009,800,700,5400,3001,1000
0.001,700,1400,2700,2800,1700
0.002,900,600,4200,3900,1500
0.003,700,700,6100,2500,1100
0.004,900,600,4800,3300,900
0.005,800,600,3600,2900,900
0.006,900,600,2500,2400,600
0.007,900,500,4500,2500,1500
0.008,600,700,3900,2200,600
0.009,900,500,5400,3300,600
0.01,900,800,3600,3700,1100
0.02,800,400,2700,3000,1000
0.03,900,500,4600,3000,1000
0.04,600,700,4600,3600,900
0.05,1000,500,3100,3000,1000
0.06,1100,500,2400,4400,900
0.07,1000,400,7200,2300,800
0.08,1000,600,5100,3100,1100
0.09,900,500,3600,2100,600
0.1,1000,500,3500,2900,1100
0.2,900,400,4700,2000,500
0.3,900,600,3700,2000,1100
0.4,1000,900,3600,2600,1300
0.5,1200,500,5100,2700,900
0.6,1000,500,3500,1800,500
0.7,800,600,7100,2600,1300
0.8,1000,500,4100,2200,700
0.9,900,1000,2300,3000,1200
1,1200,500,7600,2300,800
