 ,DA,SA,LL,TV,VEC
1e-05,11801,14095806,39765520,109796916,33478727
2e-05,6401,21046851,29736233,106263838,37695858
3e-05,6901,14246518,30216771,106096625,26264161
4e-05,9001,10031887,26116549,105887209,26348268
5e-05,8001,13414053,24722240,80561321,36550368
6e-05,8600,13624770,20970946,97314836,23723962
7e-05,7301,17418767,25534903,82072140,25864829
8e-05,10301,19381221,25622410,89723841,48292089
9e-05,6800,12053846,29805639,95526296,26478478
0.0001,9700,10995662,43062979,90154375,31875301
0.0002,13502,21231166,21376377,86717805,40819603
0.0003,10601,20091576,25296485,83950588,40958114
0.0004,11401,7523290,29324001,81118066,48368995
0.0005,10801,26204756,24785545,98608338,29689230
0.0006,14401,13596067,42055600,79997277,42306820
0.0007,14201,12370571,50808187,78171434,39132271
0.0008,30003,24919155,26231858,92568164,27093426
0.0009,17102,30246673,24890553,88634755,24537926
0.001,18601,6827736,38415915,100953222,29547819
0.002,23401,11850430,37798567,86738906,28220415
0.003,28802,26031642,25510402,89119894,26167853
0.004,32103,22881796,9887276,113263788,35511286
0.005,34503,12392572,30040458,87074233,26454176
0.006,35503,11807727,25074668,95556599,24572829
0.007,33902,28445733,17718091,90967840,23599452
0.008,40803,17888804,30609603,85352899,26322066
0.009,39703,10531026,41880088,74259728,46480849
0.01,46003,22826892,17700190,138768792,30834121
0.02,70406,18219930,25704518,93618951,46470548
0.03,80107,10693740,35409680,88625060,46789374
0.04,100208,21963326,37596753,91939822,27020723
0.05,104408,21019251,12955118,102962790,25339891
0.06,139911,11357592,46178729,88847582,30787920
0.07,159512,20661424,24745245,93195125,26561188
0.08,123609,22121239,26397076,93052915,30776319
0.09,136111,12907615,26284366,91896625,26435679
0.1,137711,24505227,17247756,94817956,49821618
0.2,184415,7984528,27482562,100854237,19521936
0.3,171614,7747110,36864001,96122067,36040037
0.4,155812,8358855,26920208,99715511,26471273
0.5,181015,15953953,31126545,109216678,27200037
0.6,207216,23792671,35221670,87840406,21267072
0.7,148211,8285352,29793644,78617883,25812030
0.8,179914,15116898,21940740,63292117,18781489
0.9,162513,6271396,34759547,53446323,17440078
1,195616,5812259,15035486,31268567,10348917
