 ,DA,SA,LL,TV,VEC
1e-05,10801,30962438,51066322,164483440,22344719
2e-05,4100,15528021,60163257,136268441,46286559
3e-05,5500,9908542,56916910,139702990,46247259
4e-05,5901,17902955,59528948,159076265,42189400
5e-05,6200,22190516,57241716,174443984,52061342
6e-05,7000,24182444,57184715,158111352,54222173
7e-05,8700,32804467,53450562,163549629,54245473
8e-05,8200,33961684,57003712,164936350,54273773
9e-05,7600,16547136,74987968,150851349,50256316
0.0001,8000,33671180,57246115,173167467,30260031
0.0002,8700,27458091,79192528,179181553,32105457
0.0003,7600,5467078,73176943,174668088,38220044
0.0004,8400,24672751,57315717,166330169,34356590
0.0005,8200,9805339,49153301,164733146,26189073
0.0006,11700,25546763,55044081,126512496,46227257
0.0007,11900,15970027,45303043,168023585,40224271
0.0008,12000,29550920,39121655,143877143,39176356
0.0009,11300,14957112,64175211,132454480,50191213
0.001,12600,14903312,73484943,151220347,61598974
0.002,19300,10896754,64339309,156449009,22203614
0.003,21001,16971042,69550492,122878354,53810468
0.004,26900,23280430,54179868,142465617,40630675
0.005,28700,26052869,44487831,153932081,25887167
0.006,30601,20617492,52696147,143042829,40395373
0.007,27601,22572916,49382192,139808762,50215504
0.008,35200,14932512,69357681,140557688,26187570
0.009,33800,29412716,45286440,140083781,50939720
0.01,34200,20923496,56339297,136685532,46220454
0.02,54501,9592936,70610300,139941382,26204471
0.03,67500,9521335,57477415,142906024,46194955
0.04,83701,8521020,63804598,150454317,26214769
0.05,100501,32307057,60212051,139350869,26181370
0.06,114802,22814722,52690145,146900577,46247854
0.07,117601,25173656,55156280,146541673,26182871
0.08,136902,9576536,70119393,127459706,39675562
0.09,135002,13633793,66067635,123054741,46229754
0.1,115802,11499263,49343898,150410128,46220454
0.2,165902,6403290,73976539,137434730,42283794
0.3,178702,16500532,40072664,91183683,18214256
0.4,159902,12844282,33077066,73108031,14253001
0.5,179103,17650652,36201717,63360905,21590908
0.6,182703,14979413,22775024,47130971,14128102
0.7,152402,6425992,31574250,47345976,14241803
0.8,155402,7099300,35231395,46230949,10231443
0.9,160302,4480264,14651709,23318831,6046286
1,186303,4637066,15614221,22915425,6148287
