 ,DA,SA,LL,TV,VEC
1e-05,800,134202,5585607,19501,118502
2e-05,700,239705,5560006,31401,224104
3e-05,600,358807,5689609,37501,359907
4e-05,400,276206,5415303,45301,251005
5e-05,1000,159103,5439404,34601,146303
6e-05,400,126203,5231000,18400,117203
7e-05,500,139203,5093798,26500,127103
8e-05,700,338907,5045196,29401,312506
9e-05,400,260305,5038496,37701,250605
0.0001,500,178904,5109398,44200,171804
0.0002,400,278605,5057597,34601,265205
0.0003,500,385608,5067797,5900,361507
0.0004,400,153803,5037696,37101,149603
0.0005,500,299706,5009296,31200,280506
0.0006,700,284906,5044196,34001,282105
0.0007,700,331606,5038697,31000,304906
0.0008,500,135003,5065197,31901,123002
0.0009,600,288606,5019096,26800,270205
0.001,600,54201,4950495,14100,47101
0.002,500,244605,4805092,43100,267406
0.003,600,168204,5399503,30201,149103
0.004,1100,235505,5221100,46501,221804
0.005,700,56101,5078297,20701,49301
0.006,800,309006,5004596,37901,299706
0.007,600,20301,4901094,9100,21600
0.008,600,138303,4868893,15901,132902
0.009,601,244104,4754191,36700,238605
0.01,1100,174704,4689690,44800,175804
0.02,700,333707,4807292,30500,339807
0.03,600,12200,4817393,10700,12100
0.04,700,86402,4751191,13200,82002
0.05,1000,211004,4801092,45601,255705
0.06,900,64702,5110598,17000,62501
0.07,800,232104,4949795,34101,241804
0.08,800,174903,4931795,39300,192204
0.09,1400,94502,4758591,13700,101002
0.1,900,249205,4823692,28701,261505
0.2,1000,161803,5023497,12700,173003
0.3,3300,135003,5210100,17600,136202
0.4,3300,93202,5075290,17100,92102
0.5,1800,254605,5255800,40401,253905
0.6,2000,375507,5389503,13700,388208
0.7,2100,148003,5830610,17700,145703
0.8,2300,21501,5757309,19800,20901
0.9,2300,59601,5960513,31901,62001
1,3000,117102,5794310,27001,118102
