 ,DA,SA,LL,TV,VEC
1e-05,1640,680,6350,2380,430,
2e-05,1460,610,5910,2330,370,
3e-05,1410,570,6840,1880,350,
4e-05,1290,500,7550,2090,320,
5e-05,1340,600,5550,2110,390,
6e-05,1250,520,6940,2130,390,
7e-05,1340,760,5480,2130,370,
8e-05,1470,560,5610,2090,350,
9e-05,1540,590,7170,2310,370,
0.0001,1660,720,6650,2140,320,
0.0002,1940,590,6770,2690,460,
0.0003,2000,630,19090,2250,350,
0.0004,1850,490,5700,2380,380,
0.0005,2130,540,5850,2360,380,
0.0006,2980,580,7770,2410,400,
0.0007,2760,500,6270,2690,420,
0.0008,3020,580,7670,2450,380,
0.0009,3010,640,6410,2190,430,
0.001,2710,570,5480,2650,410,
0.002,3520,510,6460,2500,350,
0.003,3800,590,6250,2340,390,
0.004,3860,490,5930,1990,260,
0.005,3690,630,5320,2260,310,
0.006,3490,500,6790,2170,450,
0.007,3590,660,6550,2390,260,
0.008,3690,720,6270,2300,350,
0.009,3620,480,5550,1980,360,
0.01,3470,580,7640,2180,470,
0.02,3750,560,6950,2090,320,
0.03,3850,570,7770,2130,400,
0.04,4130,490,5270,2180,290,
0.05,4070,550,8380,2130,350,
0.06,4130,660,6000,2150,370,
0.07,4210,540,6350,2300,430,
0.08,4610,550,7280,2140,320,
0.09,4660,560,4730,2310,510,
0.1,4580,570,5790,2430,420,
0.2,4400,520,7790,2420,490,
0.3,5480,550,6400,2440,350,
0.4,3590,740,6920,1760,450,
0.5,4730,660,6030,2060,330,
0.6,4710,460,7270,1770,410,
0.7,4910,380,7120,1840,450,
0.8,5000,390,7040,1790,420,
0.9,5400,430,7320,1960,450,
1,4190,460,5760,1770,370,
