 ,DA,SA,LL,TV,VEC
1e-05,800,200,2700,1100,200
2e-05,1000,200,4501,1800,100
3e-05,400,300,3300,1200,600
4e-05,400,200,3500,1100,100
5e-05,800,400,3000,1200,300
6e-05,900,300,1100,1100,100
7e-05,800,100,5600,1000,200
8e-05,1200,300,2800,1000,700
9e-05,500,200,2201,900,100
0.0001,400,400,3100,1000,100
0.0002,700,200,1900,1000,100
0.0003,600,400,3500,1100,200
0.0004,700,200,5500,900,100
0.0005,1700,400,1000,1100,100
0.0006,1200,200,6000,1000,100
0.0007,1100,200,2700,1900,200
0.0008,1600,200,1900,900,100
0.0009,1300,200,5900,1100,0
0.001,1000,300,1100,1500,300
0.002,2000,300,4100,1100,100
0.003,1200,200,3300,1100,200
0.004,1700,300,2500,800,100
0.005,2100,300,4400,1700,500
0.006,1600,400,4500,1100,0
0.007,1700,200,6200,1000,100
0.008,1700,200,1900,900,200
0.009,1800,200,1200,1200,0
0.01,3400,200,2000,1200,100
0.02,2800,300,4600,1100,100
0.03,1600,100,4700,1200,200
0.04,1500,100,2200,700,200
0.05,1900,200,2100,1100,100
0.06,1900,400,5300,900,200
0.07,2000,500,2200,800,200
0.08,3300,300,3300,700,200
0.09,2000,200,3500,700,100
0.1,1500,300,4400,700,100
0.2,1600,300,6200,700,100
0.3,2100,300,3000,900,300
0.4,2000,200,5400,800,100
0.5,2400,400,3000,1100,800
0.6,1800,300,3600,900,100
0.7,2300,200,3600,800,100
0.8,2700,200,3700,900,100
0.9,1600,200,4500,1400,600
1,1300,200,3400,700,300
