 ,DA,SA,LL,TV,VEC
1e-05,1105,4140,5190,5835,1290,
2e-05,870,1260,4895,4165,710,
3e-05,985,1425,4850,4395,795,
4e-05,740,1325,5160,4215,740,
5e-05,1025,1370,4645,4240,710,
6e-05,970,1590,4930,4485,610,
7e-05,940,1205,5105,4160,575,
8e-05,1075,1465,4730,4285,780,
9e-05,885,1420,4410,4250,750,
0.0001,1090,1355,4575,4445,765,
0.0002,1135,1660,5090,4535,715,
0.0003,1290,1905,5075,4515,705,
0.0004,1240,1730,4885,4315,675,
0.0005,1260,1835,4970,5015,710,
0.0006,1495,1680,4820,4915,890,
0.0007,1565,1845,4610,4615,775,
0.0008,1725,1695,4835,4610,940,
0.0009,1645,2270,5245,4470,775,
0.001,1645,1920,4540,4690,835,
0.002,1680,1790,5880,4900,895,
0.003,2035,1670,5510,4535,890,
0.004,1605,1420,5990,4655,805,
0.005,2240,1800,5115,4895,1025,
0.006,2165,1935,5210,4875,780,
0.007,2370,1725,5745,4720,1005,
0.008,2505,1790,6470,4815,880,
0.009,2195,1710,5930,4630,775,
0.01,2590,1645,5475,5000,880,
0.02,2510,1810,5485,4985,970,
0.03,2840,1730,5795,4810,920,
0.04,2875,1570,4990,4575,895,
0.05,2860,1335,5565,4550,765,
0.06,3065,1810,5270,4740,900,
0.07,2820,1595,5275,4815,960,
0.08,3410,1800,5130,4925,860,
0.09,3910,1615,5635,4620,830,
0.1,3135,1935,5785,4890,885,
0.2,3520,1765,5770,4725,1095,
0.3,3865,1785,6005,4810,800,
0.4,3330,1320,5735,4515,835,
0.5,3620,1575,5755,4365,900,
0.6,3565,1670,5425,4515,945,
0.7,3325,1965,5810,4645,875,
0.8,3860,1815,5320,4255,1070,
0.9,3905,1515,6330,4490,795,
1,3310,1620,5090,4695,870,
