 ,DA,SA,LL,TV,VEC
1e-05,900,6300,3901,4200,600
2e-05,300,300,5700,3300,300
3e-05,200,200,5101,3200,300
4e-05,1100,1600,3500,4700,400
5e-05,900,1600,4400,3600,700
6e-05,400,900,2200,3500,700
7e-05,1000,1400,2400,3300,400
8e-05,800,300,5000,3200,1100
9e-05,1100,1000,3800,3300,500
0.0001,700,1300,3700,4600,600
0.0002,2800,1101,2300,3400,500
0.0003,1000,1300,1800,3700,700
0.0004,1400,1900,2100,3400,400
0.0005,1200,1100,2800,4700,1100
0.0006,1100,900,1600,4800,500
0.0007,1600,1000,3300,4000,1200
0.0008,1600,1200,4800,5600,400
0.0009,3300,1500,3900,4600,500
0.001,2000,1700,2200,4700,400
0.002,2100,1500,2601,4600,500
0.003,1300,1500,7100,4400,500
0.004,1201,600,2100,3800,1400
0.005,1100,1200,3001,4800,1200
0.006,1500,1300,6400,4300,500
0.007,2000,2000,6600,4101,800
0.008,2601,1700,6200,4400,600
0.009,1800,1200,3600,4600,1300
0.01,1800,800,6900,3900,500
0.02,1100,700,3901,3500,400
0.03,2500,1300,3200,3600,500
0.04,3000,900,5500,3600,600
0.05,2801,1400,3000,4900,700
0.06,1200,500,2200,4900,600
0.07,2200,1200,5100,3900,500
0.08,1700,700,5200,4100,900
0.09,3100,1500,4200,3500,500
0.1,3900,1300,2800,4800,500
0.2,2300,800,5600,4000,900
0.3,3200,1900,6200,5300,600
0.4,3200,800,4500,3600,1200
0.5,3700,600,4000,3900,400
0.6,3300,1300,2600,3900,1000
0.7,4000,1100,6001,4600,600
0.8,4800,1000,4100,4200,500
0.9,2400,900,5200,4100,1600
1,1900,1000,5000,4800,1200
