 ,DA,SA,LL,TV,VEC
1e-05,280,390,2720,1940,150,
2e-05,200,320,3040,1840,240,
3e-05,210,280,1980,1900,170,
4e-05,170,160,2000,1880,120,
5e-05,240,190,2520,1750,170,
6e-05,210,220,2340,1850,200,
7e-05,230,220,1950,1880,170,
8e-05,160,150,2370,2120,130,
9e-05,190,180,1980,1770,170,
0.0001,160,120,1730,1760,110,
0.0002,190,210,1860,1980,160,
0.0003,170,210,2340,1740,190,
0.0004,250,240,2070,1930,150,
0.0005,230,190,2380,1900,160,
0.0006,190,150,2520,1840,150,
0.0007,270,170,2310,1930,210,
0.0008,230,280,2550,1860,190,
0.0009,250,210,2120,1820,120,
0.001,220,180,2200,1810,170,
0.002,310,210,2210,1890,210,
0.003,270,330,2410,1860,140,
0.004,270,410,1930,1960,270,
0.005,290,240,1820,1950,170,
0.006,360,270,2040,1830,150,
0.007,230,300,2070,1940,280,
0.008,490,150,1980,1860,140,
0.009,370,260,2180,1820,170,
0.01,290,210,1980,1790,210,
0.02,400,260,2380,1770,200,
0.03,390,240,1890,1840,250,
0.04,300,270,1940,1680,150,
0.05,350,180,2630,1660,150,
0.06,470,300,1860,1920,200,
0.07,450,180,2700,1750,150,
0.08,520,250,1580,1880,180,
0.09,520,180,2160,1700,140,
0.1,500,140,2530,1730,160,
0.2,550,170,2200,1730,170,
0.3,480,190,2160,1800,160,
0.4,590,190,2410,1760,130,
0.5,590,280,2020,1780,190,
0.6,580,180,2220,1670,130,
0.7,620,200,1920,2020,200,
0.8,500,370,2160,1910,210,
0.9,500,140,1780,1740,140,
1,540,150,2640,1710,120,
