 ,DA,SA,LL,TV,VEC
1e-05,400,1800,7100,3801,300
2e-05,500,1100,6500,3700,700
3e-05,400,600,5500,3700,500
4e-05,300,500,2200,3500,200
5e-05,300,300,4600,3200,300
6e-05,300,400,6700,3500,300
7e-05,400,400,5700,3800,400
8e-05,600,300,4400,3900,200
9e-05,700,400,4200,3601,300
0.0001,100,100,4201,3200,100
0.0002,400,600,2000,3900,300
0.0003,500,400,4100,3700,300
0.0004,1000,400,3900,4500,300
0.0005,200,300,5500,3800,300
0.0006,500,300,4500,3800,300
0.0007,500,200,4400,3800,200
0.0008,700,800,4900,4000,300
0.0009,600,300,3700,3900,200
0.001,400,200,3500,3600,300
0.002,600,300,5800,3400,300
0.003,700,400,2700,3800,200
0.004,700,1000,2700,3400,300
0.005,600,600,4400,3901,300
0.006,500,500,4300,4000,400
0.007,500,600,4500,3900,300
0.008,1200,400,4400,3800,400
0.009,600,600,4600,3600,400
0.01,600,300,3400,3400,300
0.02,400,500,4100,3401,200
0.03,600,700,7300,3500,1300
0.04,900,400,3300,3200,300
0.05,600,300,2000,3200,200
0.06,900,300,4800,3200,300
0.07,1500,300,5300,3600,400
0.08,600,200,2500,3300,400
0.09,900,300,4800,3400,300
0.1,1400,300,3500,4200,500
0.2,1000,300,6500,3201,300
0.3,300,200,4200,3900,200
0.4,1200,600,7000,3200,300
0.5,1400,600,4400,3200,300
0.6,1000,300,5000,3200,300
0.7,1300,300,2000,4300,300
0.8,1300,500,4800,4400,500
0.9,1000,300,4000,3200,300
1,1300,300,3400,4100,200
