 ,DA,SA,LL,TV,VEC
1e-05,1000,2126031,6550793,26501,283004
2e-05,800,809311,6713796,21801,119101
3e-05,1200,2496436,6511093,28700,312105
4e-05,900,106101,6406092,12200,15400
5e-05,1100,1966029,6586894,45500,216103
6e-05,1000,252604,7508107,14100,37701
7e-05,800,1271418,6289190,25900,145102
8e-05,1400,2202632,6292390,35300,288104
9e-05,900,1438321,7028300,27401,169802
0.0001,1000,2589237,6127188,34800,353105
0.0002,1200,2122830,7218603,48501,289804
0.0003,1400,1022115,6622394,32701,155702
0.0004,1300,222203,7061501,10500,33001
0.0005,1400,2595937,8139316,37801,382905
0.0006,1300,2185631,6523693,34601,327804
0.0007,2200,840412,6825698,27200,128802
0.0008,2700,648310,6626094,19101,80601
0.0009,2100,1307818,6523894,26600,126502
0.001,2100,110702,6508993,17500,17000
0.002,1600,2836641,6479792,33501,349205
0.003,1900,753610,6961500,20800,98602
0.004,1600,1462421,6332590,35901,140902
0.005,2401,1685423,6616193,46101,193003
0.006,2300,2723239,6444891,32000,351905
0.007,2300,535008,6962398,20400,86802
0.008,2500,2725438,6545293,34400,345005
0.009,2400,2287733,6415890,37901,209103
0.01,1800,1775425,6219888,35601,233403
0.02,1900,732011,6763596,18201,87601
0.03,3500,1621223,6707595,50701,224403
0.04,1500,2224932,6569194,47001,276804
0.05,2900,1780125,6687095,51501,205103
0.06,2200,23100,6326291,15400,5400
0.07,2500,598108,7110602,27100,87901
0.08,3000,323005,7354605,12300,45101
0.09,3300,2694739,6956999,32000,311605
0.1,2500,1525022,6558893,31901,162502
0.2,2300,1807226,7373905,31600,227204
0.3,3800,2899342,7940714,3000,382105
0.4,5000,2429350,7601359,10100,345808
0.5,2200,2292533,7142702,11100,281404
0.6,3200,753511,8525122,23800,112402
0.7,5000,2425635,7764310,34801,307504
0.8,4100,1945528,8617922,40200,222303
0.9,3301,2300932,8696223,20501,252503
1,3800,79501,8984328,17301,12400
