 ,DA,SA,LL,TV,VEC
1e-05,7740,606730,5731606,25140,569849,
2e-05,2780,768273,5651905,20260,877775,
3e-05,4580,571067,5685405,23360,731709,
4e-05,3060,169722,5669685,27520,170662,
5e-05,3000,205303,5685925,19540,201282,
6e-05,3220,248143,5656765,19040,245163,
7e-05,2400,114781,5579344,19480,111841,
8e-05,2880,161742,5469602,19800,157482,
9e-05,2560,258684,5397721,20400,240883,
0.0001,2800,283284,5349500,23740,266983,
0.0002,4020,278604,6068430,15340,263824,
0.0003,3380,250764,5489142,22160,254024,
0.0004,3480,145641,5444402,23300,138442,
0.0005,4740,171622,5808188,15980,169562,
0.0006,3240,246063,5848047,19220,357766,
0.0007,4520,219563,5655825,18580,217943,
0.0008,4060,188182,5820587,24880,185982,
0.0009,4400,343265,5886669,17380,237043,
0.001,3100,146682,5903450,22120,140142,
0.002,4080,308085,5617005,16660,309144,
0.003,4100,236603,5638495,24100,227224,
0.004,3840,223884,5638776,17260,226504,
0.005,4160,256104,5502314,18340,253404,
0.006,4060,192543,5626697,18140,189803,
0.007,3800,201683,5433433,18280,199363,
0.008,3440,166382,5530245,19360,164942,
0.009,4540,250484,5610086,14320,243903,
0.01,3220,241664,5555406,17600,250924,
0.02,4440,200223,5722458,20140,203783,
0.03,4400,135363,5593391,24460,139204,
0.04,3160,266644,5607236,24900,265305,
0.05,3780,246824,5682039,22260,250284,
0.06,3980,183103,5658818,25780,190883,
0.07,4020,178903,5746361,23080,184563,
0.08,4700,288465,5682199,12980,287825,
0.09,4300,185227,5888910,24821,189507,
0.1,3720,275385,5861224,25520,278864,
0.2,3320,141083,6002411,18660,141722,
0.3,3040,157822,5823828,22360,148743,
0.4,2860,157042,5767447,16760,153942,
0.5,3520,220503,5790188,15200,223484,
0.6,2660,150543,5833008,17640,135762,
0.7,3000,234784,6348718,26300,248044,
0.8,3300,173883,6577302,16720,173983,
0.9,3240,126242,6773671,22520,129442,
1,2900,151842,6935197,18300,150062,
