 ,DA,SA,LL,TV,VEC
1e-05,3300,6043086,6465392,15200,2258233
2e-05,3000,434306,6773097,13500,63501
3e-05,3000,203202,7613609,23100,46901
4e-05,2900,344105,6610895,25200,43601
5e-05,3500,2216632,6328590,28500,277404
6e-05,2300,2243332,6367390,23301,291104
7e-05,2000,1431620,6334490,30601,170002
8e-05,2600,2909341,6263389,5901,479606
9e-05,1900,811012,6449892,26200,107702
0.0001,2300,244803,6726596,10300,33901
0.0002,2700,113201,6623595,16200,16100
0.0003,3600,2013728,6531893,23400,241603
0.0004,5300,972714,7023501,21000,125402
0.0005,3700,3107945,6610994,16800,348705
0.0006,3700,637309,6865098,21101,95401
0.0007,4100,1597123,6515893,33200,145903
0.0008,4600,569708,6734296,19601,80101
0.0009,5700,2796240,6512893,19700,919113
0.001,5200,2608637,6193189,27800,284204
0.002,4300,2339833,6385291,53701,265204
0.003,5300,484607,6809597,30200,64201
0.004,5100,2688738,6410392,46200,288304
0.005,3800,1955228,6578394,45301,195802
0.006,3700,2059129,6414891,36601,214503
0.007,5900,428007,6925998,26901,59201
0.008,3500,773111,6643595,21000,98402
0.009,3800,2010129,6432092,61001,209603
0.01,4800,1618823,6387291,33301,151602
0.02,4200,996814,6058886,29001,116801
0.03,5901,710610,6695495,26300,74401
0.04,3700,352905,6047986,12800,39400
0.05,2600,400006,6699495,22701,49000
0.06,5701,948513,6579894,20900,124902
0.07,3700,828812,6535693,29200,103402
0.08,5400,237703,6716796,15500,31401
0.09,4300,2192631,6163788,43401,203303
0.1,3000,1947628,6317290,29000,196403
0.2,2400,1162917,6476992,19301,109601
0.3,3900,2265233,6686595,45601,239003
0.4,3300,2656737,7258104,37601,265403
0.5,2600,874813,7741010,26800,106802
0.6,2300,2225332,7912513,34100,269604
0.7,3000,61901,8866016,3900,10100
0.8,2700,1403720,8958529,31300,156903
0.9,3200,532607,8564423,22900,64701
1,4300,4200,8903227,5301,2500
