 ,DA,SA,LL,TV,VEC
1e-05,400,200,4900,1200,100
2e-05,800,300,4300,1500,100
3e-05,400,600,1100,1300,100
4e-05,1100,200,1800,1200,200
5e-05,1700,100,4100,1100,100
6e-05,300,201,1900,1000,400
7e-05,400,400,800,1100,200
8e-05,600,200,800,900,100
9e-05,600,200,2500,900,100
0.0001,800,400,2900,1800,200
0.0002,1300,300,4700,2200,200
0.0003,1000,400,1200,2100,500
0.0004,800,400,1100,1500,600
0.0005,800,100,2300,2100,0
0.0006,2700,400,3100,900,400
0.0007,1000,100,1200,1600,0
0.0008,700,400,1400,2200,200
0.0009,1400,400,3901,1300,300
0.001,1900,700,2600,1000,200
0.002,1400,200,3000,1900,100
0.003,1800,300,5100,1700,200
0.004,800,300,700,900,800
0.005,2500,200,4100,1400,100
0.006,1600,200,4600,1100,0
0.007,1600,400,1600,2700,400
0.008,1800,1100,6100,1300,200
0.009,1800,100,2001,1800,100
0.01,2600,100,5000,1100,100
0.02,2500,400,3600,1600,100
0.03,1600,400,5700,701,300
0.04,1700,400,4100,800,400
0.05,2601,300,3400,700,100
0.06,2200,300,4800,700,400
0.07,1600,300,1100,800,400
0.08,2400,200,2000,700,0
0.09,2100,300,3300,900,100
0.1,2700,200,3600,700,100
0.2,1800,600,2500,1600,100
0.3,2400,100,1800,800,400
0.4,2400,200,2600,900,100
0.5,2100,100,4200,1100,0
0.6,1700,100,4100,700,400
0.7,1800,100,7300,600,200
0.8,4000,200,2800,800,100
0.9,2000,200,800,700,200
1,1800,200,5900,700,400
