 ,DA,SA,LL,TV,VEC
1e-05,360,120,1930,650,70,
2e-05,410,200,1400,570,70,
3e-05,240,180,1310,530,90,
4e-05,280,70,1250,530,60,
5e-05,440,170,1530,520,140,
6e-05,240,90,1890,450,110,
7e-05,270,110,1280,570,70,
8e-05,320,100,1360,2020,120,
9e-05,250,140,1090,560,80,
0.0001,290,140,1750,630,130,
0.0002,450,150,1290,790,120,
0.0003,480,110,1650,530,110,
0.0004,350,120,1460,530,120,
0.0005,440,110,1370,670,90,
0.0006,810,130,1440,630,200,
0.0007,770,80,1250,570,90,
0.0008,680,120,1700,650,80,
0.0009,700,130,1470,550,120,
0.001,820,200,1590,560,80,
0.002,740,130,1220,700,200,
0.003,920,180,1820,620,100,
0.004,770,140,1370,610,180,
0.005,860,120,2290,700,110,
0.006,940,100,2050,570,140,
0.007,1040,250,1150,680,100,
0.008,1450,190,1950,540,70,
0.009,1060,130,1440,750,110,
0.01,980,110,2310,540,70,
0.02,950,160,1600,570,70,
0.03,980,130,1950,470,90,
0.04,870,110,1610,410,100,
0.05,1200,190,1500,420,240,
0.06,970,130,2090,370,140,
0.07,1010,170,1420,390,190,
0.08,1060,230,1600,410,150,
0.09,1130,140,1300,490,110,
0.1,1109,90,1120,420,90,
0.2,1100,150,1380,570,100,
0.3,1040,90,1390,410,110,
0.4,1090,100,1480,620,100,
0.5,950,70,2210,430,100,
0.6,930,100,1430,390,130,
0.7,990,70,2540,410,80,
0.8,1570,160,2250,420,70,
0.9,1050,110,1610,400,110,
1,1210,90,1600,510,130,
