 ,DA,SA,LL,TV,VEC
1e-05,1300,1000,3000,2500,1000
2e-05,600,500,6200,2300,900
3e-05,500,500,6900,2300,1600
4e-05,500,500,5200,2300,1900
5e-05,600,900,6200,2400,1300
6e-05,600,700,7300,2200,1000
7e-05,500,700,7000,2500,1500
8e-05,500,700,6500,2400,900
9e-05,700,1001,5100,3200,900
0.0001,600,900,3000,2400,1700
0.0002,600,400,6500,2500,800
0.0003,600,1200,3600,2700,1200
0.0004,700,500,4500,2900,400
0.0005,700,800,5300,2400,1200
0.0006,600,600,4100,2300,800
0.0007,900,600,2800,2400,700
0.0008,800,700,2600,2900,900
0.0009,600,800,5800,2300,1100
0.001,500,800,4000,2300,1200
0.002,1300,800,4900,2200,1800
0.003,700,500,5100,2300,800
0.004,900,900,1600,2400,1200
0.005,800,800,1900,2900,1100
0.006,800,600,2700,2800,900
0.007,900,500,3400,2200,600
0.008,900,600,2800,2600,1700
0.009,1100,500,2000,2500,1400
0.01,900,700,4700,2300,1500
0.02,800,500,5600,2100,900
0.03,1100,600,2501,2900,500
0.04,1400,500,4600,2600,900
0.05,800,900,3600,2800,1500
0.06,1300,400,5000,2100,500
0.07,1000,700,5400,2100,600
0.08,800,500,6000,2200,1500
0.09,800,800,2400,2100,1100
0.1,1000,600,3600,2600,900
0.2,800,500,5300,2300,900
0.3,1100,900,2100,2300,700
0.4,1000,700,3300,2400,901
0.5,900,1000,4700,2400,700
0.6,900,600,3600,2300,1000
0.7,1000,600,3000,3100,800
0.8,900,900,4100,3100,900
0.9,700,500,5800,2600,400
1,800,600,2600,2400,800
