 ,DA,SA,LL,TV,VEC
1e-05,2380,2914281,4819629,12087262,3214316,
2e-05,2930,2299602,5285185,12135503,3269086,
3e-05,3300,2316223,4944860,12085422,3252716,
4e-05,2870,2196191,5047092,11823318,3227406,
5e-05,2980,2312783,4865079,12435517,3302647,
6e-05,3180,2198651,4773868,11763338,3306947,
7e-05,3110,2424434,4920330,11873219,3052123,
8e-05,3500,2710418,4900760,11885779,3272666,
9e-05,3600,2197351,5139963,13273059,3896095,
0.0001,4030,2874931,6117757,14296364,3807364,
0.0002,4650,2257822,4781598,11581845,3050843,
0.0003,4980,2289272,4641916,11573385,3054063,
0.0004,6650,2279642,4775708,11683347,3077894,
0.0005,5210,2294193,4843599,11514214,3099214,
0.0006,5490,2264222,4737247,11575435,3138804,
0.0007,6320,2433224,4718377,12382417,3207025,
0.0008,6790,2266942,4674996,11710927,3044123,
0.0009,6880,2356063,4731667,11746158,3053093,
0.001,7150,2275252,4865599,11491934,3071583,
0.002,11090,2544676,5917494,14583588,3462239,
0.003,10890,2337653,4625055,11486913,3022513,
0.004,12540,2315482,4887279,11959519,3039923,
0.005,14240,2280092,4803068,11539914,3035543,
0.006,14320,2284412,4753817,11457002,3045453,
0.007,16070,2298552,4629065,11487833,3030403,
0.008,17260,2279422,4783798,12483187,3056243,
0.009,18250,2887631,4656076,11506374,3098704,
0.01,20440,2487825,4756627,11515624,3074373,
0.02,25190,2259381,4721987,11492753,3030173,
0.03,34190,2318913,4716857,11494434,3034003,
0.04,41840,2362203,4611365,11508454,3077283,
0.05,50490,2296453,4538934,11580765,3067093,
0.06,57600,2283562,4759038,11515884,3028973,
0.07,62910,2285862,4660466,11491233,3037473,
0.08,65590,2267112,4731817,11497284,3046083,
0.09,54960,2307482,4642175,11488102,3032922,
0.1,55510,2288602,4753476,11510390,3036032,
0.2,68620,2280392,4714977,11501413,3030583,
0.3,74371,2313832,4793267,11485061,3037752,
0.4,72681,2281372,5209574,11649027,3051563,
0.5,72390,2284440,5192778,11476660,3048509,
0.6,69171,2260562,5646770,11562775,3034413,
0.7,73251,2242596,5883797,11468479,3039170,
0.8,76751,2262232,6223770,11468536,3040914,
0.9,76791,2291342,6427631,11566445,3045563,
1,80261,2302583,6554053,11496404,3039323,
