tableawards1 , wl3.cpp, tiered <500>, swap(pos, +600, +1000, +2500)
insert, ADA, SA, CBT, LL, TV
asyn,11260,265623,8300,1491139,43580
syn,15150214,15404577,15147254,16630093,15182535
delete, ADA, SA, CBT, LL, TV
asyn,7220,213982,8800,1504199,46300
syn,17382603,17589365,17384183,18879582,17421683
reorder, ADA, SA, CBT, LL, TV
no framework needed,700,900,9100,12600,2600
swap, ADA, SA, CBT, LL, TV
no framework needed,4400,29101,655908,18200,22401
query, ADA, SA, CBT, LL, TV
prefetching,7340,2912,43956,18360,6579
non-prefetching,3614663,3610234,3651278,3625682,3613902


