tableawards6 , wl3.cpp, tiered <500>, swap(pos, +600, +1000, +2500)
insert, ADA, SA, CBT, LL, TV
asyn,47040,935112,44720,1535860,46670
syn,1518509,2406581,1516189,3007329,1518139
delete, ADA, SA, CBT, LL, TV
asyn,38470,875806,38395,1523554,38975
syn,1772563,2609899,1772488,3257647,1773068
reorder, ADA, SA, CBT, LL, TV
no framework needed,700,1300,3200,2600,3800
swap, ADA, SA, CBT, LL, TV
no framework needed,3800,4300,269204,6600,18300
query, ADA, SA, CBT, LL, TV
prefetching,10236,4895,22179,5338,9161
non-prefetching,1645175,1639834,1657119,1640278,1644101


