table awards1, wl2.cpp, tiered <50>
insert, ADA, SA, CBT, LL, TV
asyn,137751,1484619,126901,1777673,129352
syn,14759243,16106110,14748393,16399164,14750843
delete, ADA, SA, CBT, LL, TV
asyn,115651,942462,115301,1486169,115501
syn,5088716,5915527,5088366,6459234,5088566
reorder, ADA, SA, CBT, LL, TV
no framework needed,900,900,3500,2600,3600
swap, ADA, SA, CBT, LL, TV
no framework needed,5600,500,13100,700,1900
query, ADA, SA, CBT, LL, TV
prefetching,6552,2127,15568,3527,20507
non-prefetching,991444,987019,1000460,988419,1005399


