tableawards4 , wl2.cpp, tiered <500>
insert, ADA, SA, CBT, LL, TV
asyn,120501,1108314,109601,1473469,110801
syn,7063792,8051605,7052892,8416760,7054092
delete, ADA, SA, CBT, LL, TV
asyn,108701,1095664,107651,6458434,108201
syn,5079166,6066129,5078116,11428899,5078666
reorder, ADA, SA, CBT, LL, TV
no framework needed,900,900,3500,2700,3800
swap, ADA, SA, CBT, LL, TV
no framework needed,6200,600,15901,900,2200
query, ADA, SA, CBT, LL, TV
prefetching,7606,3563,12088,4086,5845
non-prefetching,993090,989047,997572,989569,991328


