tableawards6 , wl2.cpp, tiered <500>, swap(pos, +600, +1000, +2500)
insert, ADA, SA, CBT, LL, TV
asyn,106871,1023138,105271,1585020,106366
syn,6354217,7270483,6352617,7832366,6353712
delete, ADA, SA, CBT, LL, TV
asyn,111186,936432,111081,1492029,111031
syn,2496812,3322058,2496707,3877655,2496657
reorder, ADA, SA, CBT, LL, TV
no framework needed,800,1500,2900,2400,3100
swap, ADA, SA, CBT, LL, TV
no framework needed,4300,6500,266604,6400,33300
query, ADA, SA, CBT, LL, TV
prefetching,12384,5879,22973,5806,8618
non-prefetching,1524933,1518428,1535522,1518356,1521167


