tableawards1 , message.cpp, tiered <500>, swap(pos, +600, +1000, +2500)
insert, ADA, SA, CBT, LL, TV, VEC
asyn,8261,186255,6880,1368187,22082,358408
syn,21850181,22028175,21848801,23210108,21864002,22200328
delete, ADA, SA, CBT, LL, TV, VEC
asyn,5820,158252,6900,1388769,22061,22121
syn,14072748,14225180,14073828,15455697,14088989,14089049
reorder, ADA, SA, CBT, LL, TV, VEC
no framework needed,700,500,15501,38703,3000,700
swap, ADA, SA, CBT, LL, TV, VEC
no framework needed,4201,6800,928873,34203,33803,9101
query, ADA, SA, CBT, LL, TV, VEC
prefetching,6581,2420,51673,26856,6423,2937
non-prefetching,5057025,5052864,5102117,5077300,5056867,5053382


