 ,DA,SA,LL,TV,VEC
1e-05,11400,6384792,10777956,23664342,7365306
2e-05,7100,4752069,10195547,23976646,7196104
3e-05,5100,5228776,9233433,23684642,7348607
4e-05,5100,4596566,9605639,24735857,7314006
5e-05,7400,4415364,17178148,22498325,6080288
6e-05,5701,5230675,9450836,22499325,6016687
7e-05,4400,4489865,9539337,22435024,6035188
8e-05,4501,4601866,9254033,22441924,6014387
9e-05,6200,4657767,9566138,23458439,6043688
0.0001,5800,4268462,9460637,23892845,6052687
0.0002,7900,4638267,9477137,22488625,6028287
0.0003,7701,4389637,9369492,22463901,6061090
0.0004,7000,4599844,11004543,22499203,6071389
0.0005,6900,4786149,9444695,22699009,6058789
0.0006,6800,9456095,22144091,22616606,6114391
0.0007,7800,4846251,9619100,22571405,6035788
0.0008,9201,4670045,9467495,22681208,6038089
0.0009,8400,4707247,9437795,22525803,6064090
0.001,11800,4729648,9557599,23661338,9805206
0.002,9602,4690464,9234811,22631522,6786917
0.003,10501,4816278,9494151,23226158,6071625
0.004,11501,4639066,10301348,22628626,6280990
0.005,11701,4653754,9837270,22541482,6035618
0.006,10800,4608572,9626350,23385665,6056294
0.007,12601,4785471,9979648,22526234,6105490
0.008,13700,4635466,9671338,22539922,6105687
0.009,12300,4643773,10211761,22515953,6040195
0.01,13600,4807771,9567642,23260644,6126791
0.02,20400,4616367,9597740,22672129,6058388
0.03,22000,4628567,9626140,22693330,6178390
0.04,64501,4658268,10246949,27492699,6088389
0.05,73401,4658467,9655541,23701544,6102789
0.06,79202,4294862,9373136,23567243,6079089
0.07,85801,4531266,9301435,22810432,6036887
0.08,99001,4429964,9239034,22674628,6037288
0.09,95902,4395963,9248834,22681329,6035788
0.1,110501,4657567,9262633,22645724,6050886
0.2,113302,4646268,9440838,22677630,6042188
