 ,DA,SA,LL,TV,VEC
1e-05,1000,300,6000,2800,200
2e-05,1000,300,6300,2300,300
3e-05,1200,300,14700,2500,400
4e-05,800,200,10200,1100,100
5e-05,900,400,9200,3700,600
6e-05,900,300,5700,2500,600
7e-05,400,700,1800,1000,200
8e-05,1100,200,4300,2300,200
9e-05,1200,200,7700,2500,200
0.0001,500,400,9900,1200,200
0.0002,2000,300,10100,2500,200
0.0003,800,400,7501,1300,100
0.0004,1400,300,13501,2200,200
0.0005,2400,200,13900,3601,200
0.0006,1500,200,12000,2901,300
0.0007,1600,300,3500,2900,300
0.0008,2200,300,10901,4300,400
0.0009,1600,200,14500,1900,300
0.001,1300,400,8601,1900,400
0.002,3000,300,15800,2100,300
0.003,2300,400,8200,3000,700
0.004,2600,700,15400,3600,501
0.005,3300,300,2501,3900,300
0.006,4000,200,10000,2201,400
0.007,3000,200,3101,2200,400
0.008,3200,200,9300,2300,200
0.009,3200,300,3900,2900,200
0.01,3600,200,18700,4500,100
0.02,4000,200,15800,2400,300
0.03,3300,200,15500,3700,200
0.04,3100,200,3600,2900,200
0.05,4000,300,16801,2700,300
0.06,3000,200,18500,2700,300
0.07,4500,200,3400,2601,200
0.08,3900,300,3500,3800,200
0.09,1700,100,13800,1400,200
0.1,2900,300,5700,4400,300
0.2,2600,200,4201,1600,300
0.3,3300,200,5200,2700,100
0.4,3300,300,2101,1100,200
0.5,2700,200,4400,3400,100
0.6,4701,300,1500,1300,300
0.7,3900,200,6300,1500,400
0.8,2800,400,11300,1900,300
0.9,4000,600,15701,1500,400
1,2100,200,13800,1700,100
